batch_size,LR,regularization,margin,positive_tendency,recall@25,mrr@25,recall@50,mrr@50
64,0.0001,0.0,0.7,0.8,86.5,47.769773282273306,90.0,47.8540722650243
64,0.0001,0.1,0.7,0.8,85.5,42.88090185957836,90.5,43.01369491369304
64,0.0001,0.3,0.7,0.8,85.5,41.425466331054594,90.5,41.52553879482271
64,0.0001,0.0,0.5,0.9,86.5,48.14402652902654,90.0,48.22921677737469
64,0.0001,0.1,0.5,0.9,86.5,46.347758804662845,90.0,46.43227428917834
64,0.0001,0.3,0.5,0.9,85.5,41.51491438300264,89.5,41.59195654374045
64,0.0001,0.0,0.7,0.9,86.5,48.08787573537575,90.0,48.17239121989124
64,0.0001,0.1,0.7,0.9,86.5,47.43286258976663,90.0,47.51737807428212
64,0.0001,0.3,0.7,0.9,85.5,42.14629966438792,90.5,42.24374998839104
64,0.0005,0.0,0.5,0.7,86.5,48.51491008991009,90.0,48.60076064634888
64,0.0005,0.1,0.5,0.7,86.5,47.99946719946722,90.0,48.08460651835267
64,0.0005,0.3,0.5,0.7,85.83333333333333,45.35004412254415,90.5,45.44837854085064
64,0.0005,0.0,0.7,0.7,86.5,48.378875291375294,90.0,48.46309186088598
64,0.0005,0.1,0.7,0.7,86.5,48.09999347058172,90.0,48.185003690886056
64,0.0005,0.3,0.7,0.7,85.83333333333333,45.8672319785478,90.5,45.96538308690878
64,0.0005,0.0,0.5,0.8,86.5,48.29259074259075,90.0,48.37755806285219
64,0.0005,0.1,0.5,0.8,86.5,48.20632233263814,90.0,48.29217288907693
64,0.0005,0.3,0.5,0.8,85.83333333333333,46.02433649683652,90.5,46.12478000757415
64,0.0005,0.0,0.7,0.8,86.5,48.07749424488556,90.0,48.16246156514699
64,0.0005,0.1,0.7,0.8,86.5,48.47974802974805,90.0,48.56559858618685
64,0.0005,0.3,0.7,0.8,85.83333333333333,45.31857281607284,90.5,45.41424926494697
64,0.0005,0.0,0.5,0.9,86.5,49.04419698658829,90.0,49.12995795764338
64,0.0005,0.1,0.5,0.9,86.5,47.455670206986014,90.0,47.5415716928875
64,0.0005,0.3,0.5,0.9,85.83333333333333,45.41837440337443,90.5,45.5133001014978
64,0.0005,0.0,0.7,0.9,86.5,48.66567876567876,90.0,48.75228007286831
64,0.0005,0.1,0.7,0.9,86.5,48.07260517260519,90.0,48.15845572904398
64,0.0005,0.3,0.7,0.9,85.83333333333333,45.23088637970219,90.5,45.32711456442217
64,0.001,0.0,0.5,0.7,84.5,45.771659304747565,90.0,45.94503095225715
64,0.001,0.1,0.5,0.7,86.5,47.87053078351035,90.0,47.96343461170829
64,0.001,0.3,0.5,0.7,85.83333333333333,46.13870586929413,90.0,46.21730856740903
64,0.001,0.0,0.7,0.7,84.5,45.754855275443546,90.0,45.91949676422296
64,0.001,0.1,0.7,0.7,86.5,48.21014124764127,90.0,48.29958885464106
64,0.001,0.3,0.7,0.7,85.83333333333333,45.74902332961159,90.0,45.82550043208048
64,0.001,0.0,0.5,0.8,84.5,45.93642729819203,90.0,46.109415189929926
64,0.001,0.1,0.5,0.8,86.5,48.21471951961083,90.0,48.30762334780879
64,0.001,0.3,0.5,0.8,85.83333333333333,45.3247355860514,90.5,45.42307000435788
64,0.001,0.0,0.7,0.8,85.5,46.31449813258639,90.0,46.446053770538015
64,0.001,0.1,0.7,0.8,86.5,48.13555194805198,90.0,48.22607482386898
64,0.001,0.3,0.7,0.8,85.83333333333333,45.918265198853454,90.5,46.01746957404963
64,0.001,0.0,0.5,0.9,86.5,46.77219349278175,90.0,46.874045344633615
64,0.001,0.1,0.5,0.9,86.5,48.82086147706858,90.0,48.91138435288558
64,0.001,0.3,0.5,0.9,85.83333333333333,46.19062160062163,90.5,46.29106511135926
64,0.001,0.0,0.7,0.9,84.5,46.789150615466426,90.0,46.95897752058745
64,0.001,0.1,0.7,0.9,86.5,49.4549935429731,90.0,49.54666584407745
64,0.001,0.3,0.7,0.9,85.83333333333333,45.49270285270288,90.5,45.59309770408952
